Year,Units,Value
2000,"Incidence per 100,000",3.4762023639999997
2001,"Incidence per 100,000",3.457783308
2002,"Incidence per 100,000",3.26788154
2003,"Incidence per 100,000",2.884131912
2004,"Incidence per 100,000",2.7622851460000004
2005,"Incidence per 100,000",2.901680088
2006,"Incidence per 100,000",2.8835847039999996
2007,"Incidence per 100,000",2.522869107
2008,"Incidence per 100,000",2.215976081
2009,"Incidence per 100,000",2.401201944
2010,"Incidence per 100,000",2.802764893
2011,"Incidence per 100,000",2.643590372
2012,"Incidence per 100,000",2.161524765
2013,"Incidence per 100,000",2.341447137
2014,"Incidence per 100,000",2.455231805
2015,"Incidence per 100,000",2.150206219
2016,"Incidence per 100,000",2.464657978
2017,"Incidence per 100,000",2.713497556
2014,"Incidence per 100,000",2.449039543
2015,"Incidence per 100,000",2.136383464
2016,"Incidence per 100,000",2.4570416059999998
2017,"Incidence per 100,000",2.692298357
2014,"Incidence per 100,000",2.455231805
2015,"Incidence per 100,000",2.150206219
2016,"Incidence per 100,000",2.464657978
2017,"Incidence per 100,000",2.713497556
2000,Number of cases,2047.0
2001,Number of cases,2044.0
2002,Number of cases,1940.0
2003,Number of cases,1720.0
2004,Number of cases,1656.0
2005,Number of cases,1753.0
2006,Number of cases,1754.0
2007,Number of cases,1547.0
2008,Number of cases,1370.0
2009,Number of cases,1495.0
2010,Number of cases,1759.0
2011,Number of cases,1673.0
2012,Number of cases,1377.0
2013,Number of cases,1501.0
2014,Number of cases,1586.0
2015,Number of cases,1400.0
2016,Number of cases,1618.0
2017,Number of cases,1792.0
2014,Number of cases,1582.0
2015,Number of cases,1391.0
2016,Number of cases,1613.0
2017,Number of cases,1778.0
2014,Number of cases,1586.0
2015,Number of cases,1400.0
2016,Number of cases,1618.0
2017,Number of cases,1792.0
